;tot_actual;actual_0;actual_1;tot_Tree;Tree_0;Tree_1;tot_SVC;SVC_0;SVC_1;tot_MPL;MPL_0;MPL_1;tot_Voting;Voting_0;Voting_1
PROCESSING_ACPS_SAO JOSE DOS CAMPOS;0.004310;0.004808;0.000000;0.020500;0.021194;0.015523;0.020500;0.025949;0.016737;0.020500;0.022333;0.016162;0.020500;0.021959;0.012129
PROCESSING_ACPS_SAO LUIS;0.004310;0.004808;0.000000;0.021400;0.021992;0.017157;0.021400;0.027907;0.016906;0.021400;0.024040;0.015152;0.021400;0.023603;0.008760
PROCESSING_ACPS_SAO PAULO;0.004310;0.004808;0.000000;0.019500;0.020283;0.013889;0.019500;0.025949;0.015046;0.019500;0.022191;0.013131;0.019500;0.020784;0.012129
PROCESSING_ACPS_SOROCABA;0.008621;0.009615;0.000000;0.024200;0.024613;0.021242;0.024200;0.033048;0.018090;0.024200;0.028876;0.013131;0.024200;0.025951;0.014151
PROCESSING_ACPS_TERESINA;0.004310;0.004808;0.000000;0.022200;0.023701;0.011438;0.022200;0.028886;0.017582;0.022200;0.024467;0.016835;0.022200;0.023485;0.014825
PROCESSING_ACPS_UBERLANDIA;0.004310;0.000000;0.041667;0.021800;0.018915;0.042484;0.021800;0.006610;0.032291;0.021800;0.013940;0.040404;0.021800;0.016792;0.050539
PROCESSING_ACPS_VITORIA;0.004310;0.004808;0.000000;0.022700;0.022448;0.024510;0.022700;0.023256;0.022316;0.022700;0.021195;0.026263;0.022700;0.022076;0.026280
PROCESSING_ACPS_VOLTA REDONDA - BARRA MANSA;0.004310;0.000000;0.041667;0.024400;0.021650;0.044118;0.024400;0.005875;0.037194;0.024400;0.019346;0.036364;0.024400;0.020080;0.049191
PRODUCTION_MAGNITUDE;80.661638;81.560096;72.875000;81.163967;81.621119;77.886215;81.163967;65.724935;91.826426;81.163967;87.022345;67.297166;81.163967;83.118628;69.947055
SIZE_MARKET;10.206897;10.230769;10.000000;10.276955;10.302887;10.091022;10.276955;10.231351;10.308449;10.276955;10.527509;9.683892;10.276955;10.261802;10.363907
STICKY_PRICES;0.507759;0.508654;0.500000;0.509104;0.510095;0.502001;0.509104;0.505762;0.511412;0.509104;0.509079;0.509163;0.509104;0.509945;0.504278
TAX_CONSUMPTION;0.000645;0.000675;0.000391;0.001193;0.001199;0.001146;0.001193;0.001210;0.001181;0.001193;0.001199;0.001179;0.001193;0.001203;0.001133
TAX_ESTATE_TRANSACTION;0.000484;0.000540;0.000001;0.001513;0.001526;0.001420;0.001513;0.001517;0.001511;0.001513;0.001531;0.001471;0.001513;0.001522;0.001463
TAX_FIRM;0.000531;0.000542;0.000435;0.000664;0.000669;0.000624;0.000664;0.000667;0.000661;0.000664;0.000661;0.000669;0.000664;0.000669;0.000633
TAX_LABOR;0.000195;0.000203;0.000132;0.000326;0.000329;0.000305;0.000326;0.000326;0.000326;0.000326;0.000326;0.000327;0.000326;0.000327;0.000323
TAX_PROPERTY;0.000002;0.000002;0.000001;0.000003;0.000004;0.000003;0.000003;0.000003;0.000004;0.000003;0.000003;0.000004;0.000003;0.000004;0.000003
TREASURE_INTO_SERVICES;0.850129;0.832837;1.000000;0.974889;0.958747;1.090627;0.974889;0.948094;0.993394;0.974889;0.910880;1.126399;0.974889;0.955400;1.086730
WAGE_IGNORE_UNEMPLOYMENT_False;0.995690;1.000000;0.958333;0.496200;0.561076;0.031046;0.496200;0.829376;0.266103;0.496200;0.649218;0.134007;0.496200;0.569281;0.076819
WAGE_IGNORE_UNEMPLOYMENT_True;0.004310;0.000000;0.041667;0.503800;0.438924;0.968954;0.503800;0.170624;0.733897;0.503800;0.350782;0.865993;0.503800;0.430719;0.923181
index;115.500000;119.269231;82.833333;;;;;;;;;;;;
